num_trains,type,k,time,time_first_solution,solution_found,num_movements
33,33,7,1375.984572172165,1375.984572172165,True,258
num_trains,type,k,time,time_first_solution,solution_found,num_movements
33,33,8,1361.1226534843445,1361.1226534843445,True,229
num_trains,type,k,time,time_first_solution,solution_found,num_movements
33,33,11,1817.8459463119507,1817.8459463119507,False,205
num_trains,type,k,time,time_first_solution,solution_found,num_movements
33,33,9,1820.088080406189,1820.088080406189,False,223
num_trains,type,k,time,time_first_solution,solution_found,num_movements
33,33,11,1784.6661400794983,1784.6661400794983,True,218
