num_trains,type,k,time,time_first_solution,solution_found,num_movements
32,5,5,1197.3980841636658,1197.3980841636658,True,178
num_trains,type,k,time,time_first_solution,solution_found,num_movements
32,5,4,978.354553937912,978.354553937912,True,181
num_trains,type,k,time,time_first_solution,solution_found,num_movements
32,5,5,1325.401085615158,1325.401085615158,True,200
num_trains,type,k,time,time_first_solution,solution_found,num_movements
32,5,5,1260.0710380077362,1260.0710380077362,True,194
num_trains,type,k,time,time_first_solution,solution_found,num_movements
32,5,7,1805.8727147579193,1805.8727147579193,False,207
