num_trains,type,k,time,time_first_solution,solution_found,num_movements
5,1,0,44.5738160610199,44.5738160610199,True,10
5,1,0,48.17363452911377,48.17363452911377,True,10
5,1,0,48.92000198364258,48.92000198364258,True,10
5,1,0,56.30582141876221,56.30582141876221,True,10
5,1,0,47.29137825965881,47.29137825965881,True,10
5,1,0,54.2107138633728,54.2107138633728,True,10
5,1,0,52.56914830207825,52.56914830207825,True,10
5,1,0,50.96003246307373,50.96003246307373,True,10
5,1,0,50.31145000457764,50.31145000457764,True,10
5,1,0,58.913957595825195,58.913957595825195,True,10
5,1,0,48.60386395454407,48.60386395454407,True,10
5,1,0,47.96723508834839,47.96723508834839,True,10
5,1,0,52.36409521102905,52.36409521102905,True,10
5,1,0,55.11332678794861,55.11332678794861,True,10
5,1,0,52.55129146575928,52.55129146575928,True,10
5,1,0,49.800021171569824,49.800021171569824,True,10
5,1,0,49.843292474746704,49.843292474746704,True,10
5,1,0,56.517066955566406,56.517066955566406,True,10
5,1,0,48.697776317596436,48.697776317596436,True,10
5,1,0,51.32193422317505,51.32193422317505,True,10
5,1,0,51.72770619392395,51.72770619392395,True,10
5,1,0,49.431766510009766,49.431766510009766,True,10
5,1,0,50.51644992828369,50.51644992828369,True,10
5,1,0,47.8876371383667,47.8876371383667,True,10
5,1,0,55.077921867370605,55.077921867370605,True,10
5,1,0,55.27887272834778,55.27887272834778,True,10
5,1,0,45.478187799453735,45.478187799453735,True,10
5,1,0,52.93500590324402,52.93500590324402,True,10
5,1,0,58.89901304244995,58.89901304244995,True,10
5,1,0,52.563000202178955,52.563000202178955,True,10
5,1/3,0,53.84736609458923,53.84736609458923,True,10
5,1/3,0,56.10263991355896,56.10263991355896,True,10
5,1/3,0,57.428539514541626,57.428539514541626,True,10
5,1/3,0,65.99649620056152,65.99649620056152,True,10
5,1/3,0,61.56178021430969,61.56178021430969,True,10
5,1/3,0,55.7345027923584,55.7345027923584,True,10
5,1/3,0,58.81498694419861,58.81498694419861,True,10
5,1/3,0,62.087323904037476,62.087323904037476,True,10
5,1/3,0,57.05261707305908,57.05261707305908,True,10
5,1/3,0,61.58059763908386,61.58059763908386,True,10
5,1/3,0,48.67650842666626,48.67650842666626,True,10
5,1/3,0,57.178958892822266,57.178958892822266,True,10
5,1/3,0,52.65874195098877,52.65874195098877,True,10
5,1/3,0,52.507983446121216,52.507983446121216,True,10
5,1/3,0,50.71819710731506,50.71819710731506,True,10
5,1/3,0,58.34128522872925,58.34128522872925,True,10
5,1/3,0,66.28115200996399,66.28115200996399,True,10
5,1/3,0,67.2639148235321,67.2639148235321,True,10
5,1/3,0,59.51735258102417,59.51735258102417,True,10
5,1/3,0,60.273823499679565,60.273823499679565,True,10
5,1/3,0,56.74590039253235,56.74590039253235,True,10
5,1/3,0,43.37322115898132,43.37322115898132,True,10
5,1/3,0,51.507410526275635,51.507410526275635,True,10
