num_trains,type,k,time,time_first_solution,solution_found,num_movements
33,5,8,1713.762520313263,1713.762520313263,True,203
num_trains,type,k,time,time_first_solution,solution_found,num_movements
33,5,9,1964.4865250587463,1964.4865250587463,False,215
num_trains,type,k,time,time_first_solution,solution_found,num_movements
33,5,7,1936.8866147994995,1936.8866147994995,False,208
num_trains,type,k,time,time_first_solution,solution_found,num_movements
33,5,6,1803.586809873581,1803.586809873581,False,210
num_trains,type,k,time,time_first_solution,solution_found,num_movements
33,5,9,1931.212275981903,1931.212275981903,False,249
