filename,found,endtime,total_computation_time
solver_20_trains_5_units14,True,5160,00:02:06.7481482
solver_20_trains_5_units14,True,5400,00:02:08.4378735
solver_20_trains_5_units14,True,5640,00:04:01.5495900
solver_20_trains_5_units14,True,5880,00:01:46.1715801
solver_20_trains_5_units3,True,5400,00:01:56.3506950
solver_20_trains_5_units3,True,5640,00:00:51.3552467
solver_20_trains_5_units3,True,5880,00:01:52.6752452
solver_20_trains_5_units25,True,5160,00:03:08.5804614
solver_20_trains_5_units25,True,5400,00:01:34.2557539
solver_20_trains_5_units25,True,5640,00:01:00.7076719
solver_20_trains_5_units25,True,5880,00:01:28.7990766
solver_20_trains_5_units4,True,4920,00:29:06.1375860
solver_20_trains_5_units4,True,5400,00:01:10.8204242
solver_20_trains_5_units4,True,5640,00:02:17.6104755
solver_20_trains_5_units4,True,5880,00:01:37.2185765
solver_20_trains_5_units18,True,4920,00:25:05.8881870
solver_20_trains_5_units18,True,5160,00:05:48.3429366
solver_20_trains_5_units18,True,5400,00:01:57.8388520
solver_20_trains_5_units18,True,5640,00:02:37.3691798
solver_20_trains_5_units18,True,5880,00:01:14.2577042
solver_20_trains_5_units6,True,4920,00:06:55.5226558
solver_20_trains_5_units6,True,5160,00:01:43.0375773
solver_20_trains_5_units6,True,5400,00:00:51.3434732
solver_20_trains_5_units6,True,5640,00:01:04.3298948
solver_20_trains_5_units6,True,5880,00:00:45.8252370
solver_20_trains_5_units30,True,4920,00:25:07.6355574
solver_20_trains_5_units30,True,5160,00:04:35.4922895
solver_20_trains_5_units30,True,5400,00:01:27.8607097
solver_20_trains_5_units30,True,5640,00:01:25.9169529
solver_20_trains_5_units30,True,5880,00:01:03.5523494
solver_20_trains_5_units21,True,5400,00:02:20.8783907
solver_20_trains_5_units21,True,5640,00:00:50.9454112
solver_20_trains_5_units21,True,5880,00:01:40.8246561
solver_20_trains_5_units19,True,6000,00:01:32.8575159
solver_20_trains_5_units27,True,4800,00:28:55.3851062
solver_20_trains_5_units27,True,6000,00:01:08.1925029
solver_20_trains_5_units10,True,6000,00:01:37.6117933
solver_20_trains_5_units6,True,6000,00:01:26.2900280
solver_20_trains_5_units7,True,6000,00:01:01.4409835
