num_trains,k,time,time_solution
num_trains,k,time
10,0,10.43657112121582
10,0,10.253636598587036
10,0,10.324087858200073
10,0,10.028151512145996
10,0,10.956755638122559
15,1,36.18123650550842
15,1,36.04035258293152
15,2,54.75566649436951
15,1,36.61643671989441
15,1,36.53693151473999
20,3,101.0915014743805
20,1,51.71626162528992
20,1,52.13315534591675
20,1,51.41624402999878
20,1,51.770477533340454
25,4,156.8485541343689
25,3,127.27367997169495
25,3,133.66456151008606
25,1,66.40141367912292
25,1,68.24751019477844
30,3,167.3130784034729
30,35,1429.0468473434448
30,6,322.69501757621765
30,8,353.3521544933319
30,2,126.3623354434967
5,0,5.171641111373901
5,0,4.538657903671265
5,0,5.034623861312866
5,0,4.713803291320801
5,0,5.150838613510132
