num_trains,k,time
5,0,4.507657289505005
5,0,3.084826946258545
5,0,3.968784809112549
5,0,2.9702699184417725
5,0,3.0116124153137207
10,0,6.831611394882202
10,0,6.961090564727783
10,0,7.102323055267334
10,0,7.068871259689331
10,0,5.743269681930542
15,0,10.440651655197144
15,0,12.166478633880615
15,0,17.849329471588135
15,0,43.051417112350464
15,0,19.589699029922485
20,0,34.07953071594238
20,0,41.8564989566803
20,0,31.771995067596436
20,0,38.089887619018555
20,0,61.89648127555847
