num_trains,k,time
5,0,6.174764633178711
5,0,5.983011484146118
5,0,5.088948726654053
5,0,7.4356207847595215
5,0,6.692049503326416
10,0,16.56213641166687
10,0,15.529262781143188
10,0,14.902249336242676
10,0,15.541558504104614
10,0,14.218600034713745
15,19,481.6545968055725
15,0,21.563217878341675
15,7,198.1014223098755
15,9,261.3921284675598
15,1,48.75693321228027
20,23,572.7731440067291
20,28,604.2393889427185
20,15,304.8963358402252
20,12,256.0724632740021
20,5,123.07631254196167

admm before removing matching and code speedup ran on binchhorst3 scenarios
