num_trains,k,time
5,0,4.9282355308532715
5,0,3.8493669033050537
5,0,4.091847658157349
5,0,3.70778751373291
5,0,3.3000683784484863
10,0,7.5560243129730225
10,0,7.418828725814819
10,0,7.193094253540039
10,0,7.6305201053619385
10,0,6.974686861038208
15,0,11.708182334899902
15,0,12.589483499526978
15,0,12.335588455200195
15,0,12.522456169128418
15,0,11.436771631240845
20,6,119.4685468673706
20,8,147.56254029273987
20,5,99.91433763504028
20,14,259.0625596046448
20,5,98.49407052993774
25,32,919.011257648468

ADMM before fix (moving p_values out side of loop over agents) on binckhorst3
