num_trains,k,time
5,0,4.112233638763428
5,0,3.7068347930908203
5,0,3.9610393047332764
5,0,3.5686397552490234
5,0,3.2953970432281494
10,0,7.427259683609009
10,0,7.337285280227661
10,0,7.1383843421936035
10,0,7.617790699005127
10,0,6.810667276382446
15,0,11.822867393493652
15,0,10.791993379592896
15,0,12.36991000175476
15,0,11.54811978340149
15,0,14.916574239730835
20,17,334.22521567344666
20,22,449.488077878952
20,8,154.74302172660828
20,17,296.34580731391907
20,15,261.6681628227234

admm after removing matching and code speedup ran on binchhorst3 scenarios before fix
