num_trains,k,time
5,0,4.8374340534210205
5,0,2.9906301498413086
5,0,4.5010926723480225
5,0,1.5879368782043457
5,0,1.3320467472076416
10,0,3.7051496505737305
10,0,4.738622426986694
10,0,4.7089831829071045
10,0,3.8339929580688477
10,0,4.468138694763184
15,0,149.598961353302
15,0,61.565176486968994
15,0,3.8229782581329346
15,0,85.50643515586853
15,0,18.733651399612427
20,0,372.5349586009979
20,0,102.42832207679749
20,0,153.66090559959412
20,0,463.25822043418884
20,0,91.63301849365234
