num_trains,end_time,time,time_first_solution,solution_found,num_movements
20,4800,1840.49647,1840.49647,False,42
20,4800,1735.3851062,1735.3851062,True,44
20,4800,1845.0153598,1845.0153598,False,40
20,4800,1847.5676427,1847.5676427,False,42
20,4800,1834.5153345,1834.5153345,False,42
20,4800,971.2236861,971.2236861,True,44
20,4800,1842.7796274,1842.7796274,False,42
20,4800,1839.6891565,1839.6891565,False,42
20,4800,1852.3804807,1852.3804807,False,40
20,4800,1839.3935759,1839.3935759,False,42
20,4800,496.4405191,496.4405191,True,44
20,4800,1852.7632738,1852.7632738,False,42
20,4800,1712.2743529,1712.2743529,True,44
20,4800,1644.0083872,1644.0083872,True,44
20,4800,1792.4719792,1792.4719792,True,44
20,4800,1838.4561528,1838.4561528,False,42
20,4800,1536.5808162,1536.5808162,True,44
20,4800,1841.238921,1841.238921,False,42
20,4800,1828.8721082,1828.8721082,False,42
20,4800,1096.3248684,1096.3248684,True,44
20,4800,1840.1513903,1840.1513903,False,42
20,4800,1849.4272998,1849.4272998,False,42
20,4800,913.6371773,913.6371773,True,44
20,4800,1836.6459503,1836.6459503,False,42
20,4800,1855.2612007,1855.2612007,False,40
20,4800,1843.0552534,1843.0552534,False,40
20,4800,1846.7427989,1846.7427989,False,40
20,4800,653.3147771,653.3147771,True,44
20,4800,1837.3623854,1837.3623854,False,40
20,4800,1847.0160625,1847.0160625,False,42
20,6000,92.85751590000001,92.85751590000001,True,45
20,6000,68.1925029,68.1925029,True,42
20,6000,97.6117933,97.6117933,True,41
20,6000,86.290028,86.290028,True,42
20,6000,61.4409835,61.4409835,True,42
20,6000,66.4478739,66.4478739,True,41
20,6000,147.1428218,147.1428218,True,43
20,6000,67.6702896,67.6702896,True,42
20,6000,86.9523752,86.9523752,True,42
20,6000,37.2664757,32.71,True,43
20,6000,61.4703254,61.4703254,True,45
20,6000,96.7529823,96.7529823,True,40
20,6000,47.3085567,47.3085567,True,42
20,6000,72.6288236,72.6288236,True,41
20,6000,60.0692246,60.0692246,True,44
20,6000,372.3768273,372.3768273,True,43
20,6000,305.5698864,305.5698864,True,44
20,6000,121.9166739,121.9166739,True,44
20,6000,44.3224705,44.3224705,True,44
20,6000,108.7476667,108.7476667,True,42
20,6000,58.4510313,58.4510313,True,41
20,6000,81.4349992,81.4349992,True,42
20,6000,73.1015556,73.1015556,True,44
20,6000,59.8959264,59.8959264,True,43
20,6000,91.9445898,91.9445898,True,43
20,6000,81.4960058,81.4960058,True,45
20,6000,113.69745040000001,113.69745040000001,True,43
20,6000,42.3870769,42.3870769,True,44
20,6000,91.0006197,91.0006197,True,40
20,6000,83.36828679999999,83.36828679999999,True,47
20,7200,55.6580098,55.6580098,True,46
20,7200,31.3556739,19.86,True,45
20,7200,38.6810094,38.01,True,43
20,7200,24.6913485,12.26,True,41
20,7200,63.2801655,63.2801655,True,47
20,7200,56.7769302,56.7769302,True,47
20,7200,74.6097414,74.6097414,True,44
20,7200,65.8506089,65.8506089,True,44
20,7200,41.5177691,41.5177691,True,41
20,7200,81.6639086,81.6639086,True,43
20,7200,35.6711699,25.91,True,41
20,7200,33.0374547,18.45,True,42
20,7200,40.3160587,40.3160587,True,46
20,7200,48.5354239,48.5354239,True,44
20,7200,98.999813,98.999813,True,43
20,7200,56.114137,56.114137,True,43
20,7200,28.6466442,23.27,True,42
20,7200,52.8122251,52.8122251,True,43
20,7200,35.7025846,28.53,True,44
20,7200,24.4242519,16.94,True,43
20,7200,42.6738244,42.6738244,True,42
20,7200,57.3011901,57.3011901,True,47
20,7200,71.9427168,71.9427168,True,42
20,7200,24.6107971,12.33,True,41
20,7200,88.0427511,88.0427511,True,41
20,7200,50.7301262,50.7301262,True,42
20,7200,39.1215404,18.73,True,49
20,7200,39.979093,39.979093,True,44
20,7200,96.42783,96.42783,True,43
20,7200,51.7629496,51.7629496,True,45
20,8400,59.9221356,59.9221356,True,47
20,8400,23.6270492,19.95,True,42
20,8400,69.5056904,69.5056904,True,41
20,8400,39.5540459,25.68,True,47
20,8400,37.1983721,25.88,True,46
20,8400,36.2070063,15.85,True,46
20,8400,27.9365359,17.57,True,41
20,8400,64.3478774,64.3478774,True,42
20,8400,65.164648,65.164648,True,43
20,8400,39.6920133,24.43,True,47
20,8400,32.2089954,18.75,True,44
20,8400,77.9206728,77.9206728,True,45
20,8400,37.7913959,37.7913959,True,43
20,8400,36.6379658,28.65,True,43
20,8400,27.8267685,11.88,True,42
20,8400,33.2170316,26.65,True,41
20,8400,25.506792,12.66,True,43
20,8400,60.0848495,60.0848495,True,43
20,8400,44.9461598,44.9461598,True,45
20,8400,55.4825332,55.4825332,True,43
20,8400,24.0391902,8.04,True,42
20,8400,42.6008252,42.6008252,True,46
20,8400,53.6393383,53.6393383,True,48
20,8400,39.3678629,31.63,True,43
20,8400,37.4431307,27.45,True,42
20,8400,32.7131835,21.56,True,44
20,8400,64.2708497,64.2708497,True,48
20,8400,67.538704,67.538704,True,46
20,8400,31.4067988,27.45,True,42
20,8400,109.674977,109.674977,True,47
