num_trains,k,time
5,0,5.2309792041778564
5,0,2.9429705142974854
5,0,3.4841110706329346
5,0,2.9722235202789307
5,0,3.0540802478790283
10,0,6.913537263870239
10,0,7.15471625328064
10,0,7.513795375823975
10,0,7.215403318405151
10,0,6.604511976242065
15,0,11.74121642112732
15,0,12.144392967224121
15,0,16.70480728149414
15,0,16.5858952999115
15,0,14.62983512878418
20,0,20.972261905670166
20,0,41.66941571235657
20,0,34.27680253982544
20,0,28.181310892105103
20,0,31.448632955551147
