num_trains,k,time
5,0,7.526869297027588
5,0,7.306655406951904
5,0,6.2048256397247314
5,0,7.139800310134888
5,0,5.37113618850708
10,0,12.798497915267944
10,0,11.590179681777954
10,0,15.614681720733643
10,0,11.53581428527832
10,0,10.606179237365723
15,0,16.48388171195984
15,1,34.38811731338501
15,2,49.48770570755005
15,0,16.59248161315918
15,1,32.836527824401855
20,1,45.65995669364929
20,3,94.20269465446472
20,1,43.680628299713135
20,1,48.82914352416992
20,2,69.14586043357849
25,2,89.70445013046265
25,1,66.23866724967957
25,4,152.5298421382904
25,1,59.709609270095825
25,7,238.30816221237183
30,49,2883.807286262512
30,7,445.41772532463074
30,6,424.75528502464294
30,17,1118.3145928382874
30,1,122.04129934310913
