filename,found,endtime,computation_time
scenario_solver_20_trains_5_units20,True,5640,9.692994832992554
scenario_solver_20_trains_5_units23,True,5640,6.02669358253479
scenario_solver_20_trains_5_units15,True,5760,5.667134523391724
scenario_solver_20_trains_5_units9,True,5640,3.5665767192840576
scenario_solver_20_trains_5_units12,True,5760,3.536756753921509
scenario_solver_20_trains_5_units18,True,4920,8.139865636825562
scenario_solver_20_trains_5_units17,True,5520,6.4467689990997314
scenario_solver_20_trains_5_units1,True,4920,3.1495742797851562
scenario_solver_20_trains_5_units4,True,5040,6.709508180618286
scenario_solver_20_trains_5_units4,True,5400,6.724921941757202
scenario_solver_20_trains_5_units16,True,5160,4.406466245651245
scenario_solver_20_trains_5_units2,True,5760,17.84527039527893
scenario_solver_20_trains_5_units19,True,5280,11.971122741699219
scenario_solver_20_trains_5_units17,True,5040,5.486119508743286
scenario_solver_20_trains_5_units10,True,5640,4.858074188232422
scenario_solver_20_trains_5_units1,True,5160,4.934749603271484
scenario_solver_20_trains_5_units7,True,5640,14.522329807281494
scenario_solver_20_trains_5_units23,True,5400,6.530452013015747
scenario_solver_20_trains_5_units9,True,5880,4.354547023773193
scenario_solver_20_trains_5_units4,True,5520,11.14683485031128
scenario_solver_20_trains_5_units24,True,4920,8.532281637191772
scenario_solver_20_trains_5_units17,True,6000,3.9519901275634766
scenario_solver_20_trains_5_units15,True,5160,4.360297918319702
scenario_solver_20_trains_5_units27,True,5880,5.360720157623291
scenario_solver_20_trains_5_units30,True,4920,8.21582579612732
scenario_solver_20_trains_5_units14,True,5640,4.857953786849976
scenario_solver_20_trains_5_units28,True,5400,5.158228874206543
scenario_solver_20_trains_5_units24,True,5160,14.824574947357178
scenario_solver_20_trains_5_units30,True,5640,8.976795673370361
scenario_solver_20_trains_5_units6,True,5280,6.540239334106445
scenario_solver_20_trains_5_units24,True,5400,4.369684457778931
scenario_solver_20_trains_5_units8,True,5160,7.464664697647095
scenario_solver_20_trains_5_units15,True,4920,5.763285875320435
scenario_solver_20_trains_5_units18,True,5400,4.982605934143066
scenario_solver_20_trains_5_units26,True,5400,3.7411060333251953
scenario_solver_20_trains_5_units2,True,5520,4.724370956420898
scenario_solver_20_trains_5_units29,True,5400,12.0455961227417
scenario_solver_20_trains_5_units15,True,5040,4.618597507476807
scenario_solver_20_trains_5_units7,True,5280,5.116502046585083
scenario_solver_20_trains_5_units28,True,6000,4.59881854057312
scenario_solver_20_trains_5_units22,True,6000,11.293338060379028
scenario_solver_20_trains_5_units21,True,5040,5.9656805992126465
