num_trains,end_time,k,time,time_first_solution,solution_found,num_movements
20,4800,12,6.344844102859497,6.344844102859497,True,70
20,4920,5,3.149580717086792,3.149580717086792,True,68
20,5040,10,5.718118190765381,5.718118190765381,True,74
20,5160,8,4.934756278991699,4.934756278991699,True,71
20,5280,12,7.1881842613220215,7.1881842613220215,True,66
