num_trains,type,k,time,time_first_solution,solution_found,num_movements
5,1,0,1.2415828704833984,1.2415828704833984,True,10
5,1,0,1.229480266571045,1.229480266571045,True,10
5,1,0,1.2349045276641846,1.2349045276641846,True,10
5,1,0,1.1989552974700928,1.1989552974700928,True,10
5,1,0,1.2194616794586182,1.2194616794586182,True,10
5,1,0,1.2396345138549805,1.2396345138549805,True,10
5,1,0,1.2359216213226318,1.2359216213226318,True,10
5,1,0,1.2200696468353271,1.2200696468353271,True,10
5,1,0,1.188323736190796,1.188323736190796,True,10
5,1,0,1.21624755859375,1.21624755859375,True,10
5,1,0,1.2347078323364258,1.2347078323364258,True,10
5,1,0,1.2313730716705322,1.2313730716705322,True,10
5,1,0,1.2228145599365234,1.2228145599365234,True,10
5,1,0,1.1904757022857666,1.1904757022857666,True,10
5,1,0,1.2170803546905518,1.2170803546905518,True,10
5,1,0,1.0355684757232666,1.0355684757232666,True,10
5,1,0,1.0248939990997314,1.0248939990997314,True,10
5,1,0,1.0171806812286377,1.0171806812286377,True,10
5,1,0,1.024580955505371,1.024580955505371,True,10
5,1,0,1.007920503616333,1.007920503616333,True,10
5,1,0,1.2308316230773926,1.2308316230773926,True,10
5,1,0,1.2315435409545898,1.2315435409545898,True,10
5,1,0,1.24568772315979,1.24568772315979,True,10
5,1,0,1.1804797649383545,1.1804797649383545,True,10
5,1,0,1.2168819904327393,1.2168819904327393,True,10
5,1,0,1.0323514938354492,1.0323514938354492,True,10
5,1,0,1.0603232383728027,1.0603232383728027,True,10
5,1,0,1.0533316135406494,1.0533316135406494,True,10
5,1,0,1.0506136417388916,1.0506136417388916,True,10
5,1,0,1.0496270656585693,1.0496270656585693,True,10
5,1/3,0,1.2185719013214111,1.2185719013214111,True,10
5,1/3,0,1.1986339092254639,1.1986339092254639,True,10
5,1/3,0,1.2118642330169678,1.2118642330169678,True,10
5,1/3,0,1.2165563106536865,1.2165563106536865,True,10
5,1/3,0,1.2204949855804443,1.2204949855804443,True,10
5,1/3,0,1.1788451671600342,1.1788451671600342,True,10
5,1/3,0,1.1373541355133057,1.1373541355133057,True,10
5,1/3,0,1.1742637157440186,1.1742637157440186,True,10
5,1/3,0,1.1757738590240479,1.1757738590240479,True,10
5,1/3,0,1.167435646057129,1.167435646057129,True,10
5,1/3,0,1.217914342880249,1.217914342880249,True,10
5,1/3,0,1.1975302696228027,1.1975302696228027,True,10
5,1/3,0,1.2107107639312744,1.2107107639312744,True,10
5,1/3,0,1.217392921447754,1.217392921447754,True,10
5,1/3,0,1.1905784606933594,1.1905784606933594,True,10
5,1/3,0,1.2092492580413818,1.2092492580413818,True,10
5,1/3,0,1.1859869956970215,1.1859869956970215,True,10
5,1/3,0,1.2078239917755127,1.2078239917755127,True,10
5,1/3,0,1.20418381690979,1.20418381690979,True,10
5,1/3,0,1.1887195110321045,1.1887195110321045,True,10
5,1/3,0,1.0618751049041748,1.0618751049041748,True,10
