num_trains,type,k,time,time_first_solution,solution_found,num_movements
5,1,0,3.0572152137756348,3.0572152137756348,True,10
5,1,0,3.035374402999878,3.035374402999878,True,10
5,1,0,3.055565118789673,3.055565118789673,True,10
5,1,0,3.049631357192993,3.049631357192993,True,10
5,1,0,3.018195152282715,3.018195152282715,True,10
5,1,0,3.0321133136749268,3.0321133136749268,True,10
5,1,0,3.027641773223877,3.027641773223877,True,10
5,1,0,3.031174659729004,3.031174659729004,True,10
5,1,0,3.0431394577026367,3.0431394577026367,True,10
5,1,0,3.021723747253418,3.021723747253418,True,10
5,1,0,2.8931472301483154,2.8931472301483154,True,10
5,1,0,2.87821888923645,2.87821888923645,True,10
5,1,0,2.8862404823303223,2.8862404823303223,True,10
5,1,0,2.8641064167022705,2.8641064167022705,True,10
5,1,0,2.8797457218170166,2.8797457218170166,True,10
5,1,0,2.91984486579895,2.91984486579895,True,10
5,1,0,2.8601324558258057,2.8601324558258057,True,10
5,1,0,2.8833086490631104,2.8833086490631104,True,10
5,1,0,2.889951467514038,2.889951467514038,True,10
5,1,0,2.870748519897461,2.870748519897461,True,10
5,1,0,2.8780457973480225,2.8780457973480225,True,10
5,1,0,2.8666694164276123,2.8666694164276123,True,10
5,1,0,2.8714077472686768,2.8714077472686768,True,10
5,1,0,2.8882410526275635,2.8882410526275635,True,10
5,1,0,2.888024091720581,2.888024091720581,True,10
5,1,0,2.8962461948394775,2.8962461948394775,True,10
5,1,0,2.856243371963501,2.856243371963501,True,10
5,1,0,2.860405206680298,2.860405206680298,True,10
5,1,0,2.864788770675659,2.864788770675659,True,10
5,1,0,2.9031636714935303,2.9031636714935303,True,10
5,1/3,0,2.913339853286743,2.913339853286743,True,10
5,1/3,0,2.92195200920105,2.92195200920105,True,10
5,1/3,0,2.9071836471557617,2.9071836471557617,True,10
5,1/3,0,2.933638572692871,2.933638572692871,True,10
5,1/3,0,2.876610279083252,2.876610279083252,True,10
5,1/3,0,2.8994436264038086,2.8994436264038086,True,10
5,1/3,0,2.9079318046569824,2.9079318046569824,True,10
5,1/3,0,2.9082231521606445,2.9082231521606445,True,10
5,1/3,0,2.8731069564819336,2.8731069564819336,True,10
5,1/3,0,2.8857991695404053,2.8857991695404053,True,10
5,1/3,0,2.862227439880371,2.862227439880371,True,10
5,1/3,0,2.8824243545532227,2.8824243545532227,True,10
5,1/3,0,2.8546221256256104,2.8546221256256104,True,10
5,1/3,0,2.8732399940490723,2.8732399940490723,True,10
5,1/3,0,2.8897922039031982,2.8897922039031982,True,10
5,1/3,0,2.922894239425659,2.922894239425659,True,10
5,1/3,0,2.9384729862213135,2.9384729862213135,True,10
5,1/3,0,2.9249165058135986,2.9249165058135986,True,10
5,1/3,0,2.913593053817749,2.913593053817749,True,10
5,1/3,0,2.905871868133545,2.905871868133545,True,10
5,1/3,0,3.0088143348693848,3.0088143348693848,True,10
5,1/3,0,3.0223143100738525,3.0223143100738525,True,10
5,1/3,0,3.051516056060791,3.051516056060791,True,10
5,1/3,0,3.043334722518921,3.043334722518921,True,10
5,1/3,0,3.053696393966675,3.053696393966675,True,10
5,1/3,0,3.0739388465881348,3.0739388465881348,True,10
5,1/3,0,3.0058913230895996,3.0058913230895996,True,10
5,1/3,0,3.0363259315490723,3.0363259315490723,True,10
5,1/3,0,3.0347983837127686,3.0347983837127686,True,10
5,1/3,0,3.0602500438690186,3.0602500438690186,True,10
5,num_trains,0,2.936694860458374,2.936694860458374,True,10
5,num_trains,0,2.900289297103882,2.900289297103882,True,10
5,num_trains,0,2.9166576862335205,2.9166576862335205,True,10
5,num_trains,0,2.916193962097168,2.916193962097168,True,10
5,num_trains,0,2.9128201007843018,2.9128201007843018,True,10
5,num_trains,0,3.0443873405456543,3.0443873405456543,True,10
5,num_trains,0,3.0350968837738037,3.0350968837738037,True,10
5,num_trains,0,3.0170812606811523,3.0170812606811523,True,10
5,num_trains,0,3.0461485385894775,3.0461485385894775,True,10
5,num_trains,0,3.0536086559295654,3.0536086559295654,True,10
5,num_trains,0,2.8636691570281982,2.8636691570281982,True,10
5,num_trains,0,2.850475311279297,2.850475311279297,True,10
5,num_trains,0,2.861643075942993,2.861643075942993,True,10
5,num_trains,0,2.876707077026367,2.876707077026367,True,10
5,num_trains,0,2.8378207683563232,2.8378207683563232,True,10
5,num_trains,0,2.8850390911102295,2.8850390911102295,True,10
5,num_trains,0,2.9049010276794434,2.9049010276794434,True,10
5,num_trains,0,2.8875513076782227,2.8875513076782227,True,10
5,num_trains,0,2.906647205352783,2.906647205352783,True,10
5,num_trains,0,2.8763575553894043,2.8763575553894043,True,10
5,num_trains,0,2.894627094268799,2.894627094268799,True,10
5,num_trains,0,2.9061203002929688,2.9061203002929688,True,10
5,num_trains,0,2.9127564430236816,2.9127564430236816,True,10
5,num_trains,0,2.9246585369110107,2.9246585369110107,True,10
5,num_trains,0,2.900186538696289,2.900186538696289,True,10
5,num_trains,0,3.0703563690185547,3.0703563690185547,True,10
5,num_trains,0,2.9491398334503174,2.9491398334503174,True,10
5,num_trains,0,2.9949958324432373,2.9949958324432373,True,10
5,num_trains,0,3.042221784591675,3.042221784591675,True,10
5,num_trains,0,3.052237033843994,3.052237033843994,True,10
