filename,found,total_computation_time
scenario_solver_30_trains_5_units13,True,00:00:13.1714966
scenario_solver_33_trains_11_units28,True,00:00:25.6404552
scenario_solver_33_trains_11_units29,True,00:01:00.8791958
scenario_solver_33_trains_11_units3,True,00:00:48.8351842
scenario_solver_33_trains_11_units30,True,00:00:58.6261515
scenario_solver_33_trains_11_units4,True,00:00:34.6252159
scenario_solver_20_trains_5_units23,True,00:00:08.7055229
scenario_solver_20_trains_5_units24,True,00:00:08.2956054
scenario_solver_20_trains_5_units25,True,00:00:09.0811023
scenario_solver_20_trains_5_units26,True,00:00:08.2599567
scenario_solver_20_trains_5_units27,True,00:00:07.8793844
scenario_solver_25_trains_1_units23,True,00:00:09.2019850
scenario_solver_25_trains_1_units24,True,00:00:12.1553038
scenario_solver_25_trains_1_units25,True,00:00:12.7607292
scenario_solver_25_trains_1_units26,True,00:00:12.0803257
scenario_solver_25_trains_1_units27,True,00:00:12.9607277
scenario_solver_20_trains_1_units1,True,00:00:08.4720285
scenario_solver_20_trains_1_units10,True,00:00:08.3469522
scenario_solver_20_trains_1_units11,True,00:00:08.3373143
scenario_solver_20_trains_1_units12,True,00:00:08.0482131
scenario_solver_20_trains_1_units13,True,00:00:08.3021046
scenario_solver_25_trains_9_units28,True,00:00:10.6438582
scenario_solver_25_trains_9_units29,True,00:00:12.4385519
scenario_solver_25_trains_9_units3,True,00:00:11.6120715
scenario_solver_25_trains_9_units30,True,00:00:12.7793534
scenario_solver_25_trains_9_units4,True,00:00:11.0514804
scenario_solver_27_trains_27_units23,True,00:00:16.3993857
scenario_solver_27_trains_27_units24,True,00:00:09.3650686
scenario_solver_27_trains_27_units25,True,00:00:10.5452714
scenario_solver_27_trains_27_units26,True,00:00:06.8039096
scenario_solver_27_trains_27_units27,True,00:00:08.0511408
scenario_solver_28_trains_1_units1,True,00:00:10.0485957
scenario_solver_28_trains_1_units10,True,00:00:10.5173080
scenario_solver_28_trains_1_units11,True,00:00:14.5880194
scenario_solver_28_trains_1_units12,True,00:00:14.4073502
scenario_solver_28_trains_1_units13,True,00:00:10.4051156
scenario_solver_5_trains_1_units14,True,00:00:02.3038698
scenario_solver_5_trains_1_units15,True,00:00:02.1867836
scenario_solver_5_trains_1_units16,True,00:00:02.1829903
scenario_solver_5_trains_1_units17,True,00:00:01.6797803
scenario_solver_5_trains_1_units18,True,00:00:02.1413502
scenario_solver_15_trains_5_units1,True,00:00:04.9687313
scenario_solver_15_trains_5_units10,True,00:00:05.2319014
scenario_solver_15_trains_5_units11,True,00:00:06.0065471
scenario_solver_15_trains_5_units12,True,00:00:05.4323593
scenario_solver_15_trains_5_units13,True,00:00:05.5908117
scenario_solver_20_trains_7_units23,True,00:00:07.5298177
