num_trains,k,time,time_solution
10,0,9.792529106140137
10,0,10.200004816055298
10,0,9.729659795761108
10,2,30.572247743606567
10,0,10.305551767349243
15,1,32.856393814086914
15,1,32.81729698181152
15,1,32.62032747268677
15,0,15.15161395072937
15,1,32.85921573638916
20,2,69.95332551002502
20,2,70.25980806350708
20,1,44.82081127166748
20,1,46.07151961326599
20,1,45.16533923149109
25,2,87.19307398796082
25,1,57.286978244781494
25,1,58.32707953453064
25,0,27.79646635055542
25,1,58.051162242889404
30,2,108.18901658058167
30,2,108.55086612701416
30,3,146.7476360797882
30,7,295.45251870155334
30,2,107.80933213233948
5,0,4.613475322723389
5,0,4.592310905456543
5,0,5.07387638092041
5,0,4.909337043762207
5,0,5.033914804458618
