num_trains,type,k,time,time_first_solution,solution_found,num_movements
5,1,0,2.2451348304748535,2.2451348304748535,True,10
5,1,0,2.118992328643799,2.118992328643799,True,10
5,1,0,2.0585060119628906,2.0585060119628906,True,10
5,1,0,2.1047511100769043,2.1047511100769043,True,10
5,1,0,2.0463147163391113,2.0463147163391113,True,10
5,1,0,2.183260679244995,2.183260679244995,True,10
5,1,0,2.063891649246216,2.063891649246216,True,10
5,1,0,2.0684285163879395,2.0684285163879395,True,10
5,1,0,2.1831281185150146,2.1831281185150146,True,10
5,1,0,2.1361498832702637,2.1361498832702637,True,10
5,1,0,2.239685297012329,2.239685297012329,True,10
5,1,0,2.259368896484375,2.259368896484375,True,10
5,1,0,2.093262195587158,2.093262195587158,True,10
5,1,0,2.104703903198242,2.104703903198242,True,10
5,1,0,2.0670671463012695,2.0670671463012695,True,10
5,1,0,2.2906851768493652,2.2906851768493652,True,10
5,1,0,2.115224599838257,2.115224599838257,True,10
5,1,0,2.02832293510437,2.02832293510437,True,10
5,1,0,2.101022243499756,2.101022243499756,True,10
5,1,0,2.1303060054779053,2.1303060054779053,True,10
5,1,0,2.104301929473877,2.104301929473877,True,10
5,1,0,2.2067015171051025,2.2067015171051025,True,10
5,1,0,2.210573434829712,2.210573434829712,True,10
5,1,0,2.02852463722229,2.02852463722229,True,10
5,1,0,2.2055912017822266,2.2055912017822266,True,10
5,1,0,2.2215254306793213,2.2215254306793213,True,10
5,1,0,2.0864927768707275,2.0864927768707275,True,10
5,1,0,2.0951273441314697,2.0951273441314697,True,10
5,1,0,2.159043073654175,2.159043073654175,True,10
5,1,0,2.225734233856201,2.225734233856201,True,10
5,1/3,0,2.2802610397338867,2.2802610397338867,True,10
5,1/3,0,2.0579278469085693,2.0579278469085693,True,10
5,1/3,0,2.1537554264068604,2.1537554264068604,True,10
5,1/3,0,2.106107473373413,2.106107473373413,True,10
5,1/3,0,2.0200769901275635,2.0200769901275635,True,10
5,1/3,0,2.090369939804077,2.090369939804077,True,10
5,1/3,0,2.011967182159424,2.011967182159424,True,10
5,1/3,0,2.176168441772461,2.176168441772461,True,10
5,1/3,0,2.052154302597046,2.052154302597046,True,10
5,1/3,0,1.974973201751709,1.974973201751709,True,10
