num_trains,time,time_first_solution,solution_found
5,7.10262656211853,7.10262656211853,True
5,7.344678163528442,7.344678163528442,True
5,7.359101057052612,7.359101057052612,True
5,7.386655330657959,7.386655330657959,True
5,7.5943989753723145,7.5943989753723145,True
5,7.726440191268921,7.726440191268921,True
5,7.7805352210998535,7.7805352210998535,True
5,7.896289348602295,7.896289348602295,True
5,7.904297351837158,7.904297351837158,True
5,8.025951623916626,8.025951623916626,True
5,8.061505556106567,8.061505556106567,True
5,8.142852067947388,8.142852067947388,True
5,8.193922758102417,8.193922758102417,True
5,8.194483280181885,8.194483280181885,True
5,8.267253160476685,8.267253160476685,True
5,8.309775114059448,8.309775114059448,True
5,8.471128702163696,8.471128702163696,True
5,8.532283306121826,8.532283306121826,True
5,8.7615487575531,8.7615487575531,True
5,9.172115087509155,9.172115087509155,True
10,33.02618861198425,33.02618861198425,True
10,33.844489336013794,33.844489336013794,True
10,34.088077545166016,34.088077545166016,True
10,35.57877254486084,35.57877254486084,True
10,38.310553312301636,38.310553312301636,True
10,38.65543723106384,38.65543723106384,True
10,40.03635382652283,40.03635382652283,True
10,40.05771851539612,40.05771851539612,True
10,41.194016456604004,41.194016456604004,True
10,41.39274334907532,41.39274334907532,True
10,44.83157968521118,44.83157968521118,True
10,46.02742528915405,46.02742528915405,True
10,50.85543131828308,50.85543131828308,True
10,51.5006799697876,51.5006799697876,True
10,52.39693784713745,52.39693784713745,True
10,55.81372404098511,55.81372404098511,True
10,57.0834686756134,57.0834686756134,True
10,75.14867043495178,75.14867043495178,True
10,80.77882432937622,80.77882432937622,True
10,86.11607003211975,86.11607003211975,True
15,502.75029587745667,502.75029587745667,True
15,508.15518593788147,508.15518593788147,True
15,538.6646282672882,538.6646282672882,True
15,547.4254417419434,547.4254417419434,True
15,567.080323934555,567.080323934555,True
15,568.8930985927582,568.8930985927582,True
15,572.6263885498047,572.6263885498047,True
15,577.4340171813965,577.4340171813965,True
15,674.0999794006348,674.0999794006348,True
15,743.1385364532471,743.1385364532471,True
15,762.8509125709534,762.8509125709534,True
15,788.4183900356293,788.4183900356293,True
15,835.0468063354492,835.0468063354492,True
15,887.4297983646393,887.4297983646393,True
15,888.7375011444092,888.7375011444092,True
15,953.1895036697388,953.1895036697388,True
15,1021.6835808753967,1021.6835808753967,True
20,1822.5698549747467,1822.5698549747467,False
20,1822.5986733436584,1822.5986733436584,False
20,1822.726818561554,1822.726818561554,False
20,1823.0069825649261,1823.0069825649261,False
20,1823.2003602981567,1823.2003602981567,False
20,1823.4852411746979,1823.4852411746979,False
20,1824.0231673717499,1824.0231673717499,False
20,1824.9100108146667,1824.9100108146667,False
20,1825.9758565425873,1825.9758565425873,False
20,1826.0471918582916,1826.0471918582916,False
20,1826.264417886734,1826.264417886734,False
15,1826.2836229801178,1826.2836229801178,False
20,1826.5201864242554,1826.5201864242554,False
20,1826.6866436004639,1826.6866436004639,False
20,1827.1446890830994,1827.1446890830994,False
20,1827.1511244773865,1827.1511244773865,False
20,1827.3877487182617,1827.3877487182617,False
20,1827.428330898285,1827.428330898285,False
15,1827.6099781990051,1827.6099781990051,False
15,1832.212742805481,1832.212742805481,False
20,1835.194708108902,1835.194708108902,False
20,1835.8462574481964,1835.8462574481964,False
20,1835.8877198696136,1835.8877198696136,False
