rho,num_trains,k,time,time_first_solution,solution_found,num_movements
0.1,30,9,1906.6589148044586,1906.6589148044586,False,174
0.1,30,7,1851.039136648178,1851.039136648178,False,165
0.1,30,10,1899.1137609481812,1899.1137609481812,False,189
0.1,30,9,1802.0514914989471,1802.0514914989471,False,185
0.1,30,7,1922.4514074325562,1922.4514074325562,False,217
0.1,30,7,1855.6457433700562,1855.6457433700562,False,207
0.1,30,11,1855.0778646469116,1855.0778646469116,False,181
0.1,30,9,1806.8239977359772,1806.8239977359772,False,190
0.1,30,9,1885.4040575027466,1885.4040575027466,False,196
0.1,30,9,1841.4728462696075,1841.4728462696075,False,178
0.1,30,8,1894.0874555110931,1894.0874555110931,False,161
0.1,30,11,1901.001808166504,1901.001808166504,False,162
0.1,30,10,1900.1932916641235,1900.1932916641235,False,155
0.1,30,11,1942.414118051529,1942.414118051529,False,144
0.1,30,10,1848.5636005401611,1848.5636005401611,False,159
0.1,30,10,1939.644718170166,1939.644718170166,False,170
0.1,30,10,1901.075124502182,1901.075124502182,False,155
0.1,30,11,1926.7261428833008,1926.7261428833008,False,164
0.1,30,11,1941.8757066726685,1941.8757066726685,False,185
0.1,30,10,1847.6097192764282,1847.6097192764282,False,187
0.1,30,11,1902.7146203517914,1902.7146203517914,False,144
0.1,30,9,1867.1576464176178,1867.1576464176178,False,182
0.1,30,8,1905.1316714286804,1905.1316714286804,False,189
0.1,30,10,1827.0274255275726,1827.0274255275726,False,169
0.1,30,10,1959.42094039917,1959.42094039917,False,163
0.1,30,8,1867.836347103119,1867.836347103119,False,161
0.1,30,8,1846.344884634018,1846.344884634018,False,179
0.1,30,9,1874.0514178276062,1874.0514178276062,False,153
0.1,30,10,1864.992197751999,1864.992197751999,False,162
0.1,30,9,1936.7721338272095,1936.7721338272095,False,182
0.1,30,5,1188.2450103759766,1188.2450103759766,True,162
0.1,30,10,1921.918053150177,1921.918053150177,False,158
0.1,30,8,1845.8925681114197,1845.8925681114197,False,181
0.1,30,11,1934.758883714676,1934.758883714676,False,178
0.1,30,10,1888.8788704872131,1888.8788704872131,False,165
0.1,30,10,1899.077172756195,1899.077172756195,False,160
0.1,30,6,1217.125807762146,1217.125807762146,True,186
0.1,30,7,1430.601155757904,1430.601155757904,True,163
0.1,30,9,1857.641298532486,1857.641298532486,False,178
0.1,30,10,1849.0036933422089,1849.0036933422089,False,151
0.1,30,6,1217.12548995018,1217.12548995018,True,155
0.1,30,10,1937.8272285461426,1937.8272285461426,False,204
0.1,30,10,1873.9605066776276,1873.9605066776276,False,167
0.1,30,9,1808.964186668396,1808.964186668396,False,174
0.1,30,6,1181.0518136024475,1181.0518136024475,True,181
0.1,30,9,2017.4738473892212,2017.4738473892212,False,171
0.1,30,10,1959.0933320522308,1959.0933320522308,False,155
0.1,30,6,1173.151906967163,1173.151906967163,True,158
0.1,30,10,1885.6674482822418,1885.6674482822418,False,173
0.1,30,10,1926.7892651557922,1926.7892651557922,False,163
0.1,30,8,1870.8563747406006,1870.8563747406006,False,183
0.1,30,8,2007.2401220798492,2007.2401220798492,False,183
0.1,30,7,1892.7744314670563,1892.7744314670563,False,202
0.1,30,5,1056.0837247371674,1056.0837247371674,True,167
0.1,30,11,1892.0367844104767,1892.0367844104767,False,161
0.1,30,9,1907.733615398407,1907.733615398407,False,211
0.1,30,10,1841.6274619102478,1841.6274619102478,False,175
0.1,30,8,1891.3323056697845,1891.3323056697845,False,192
0.1,30,9,1804.267424106598,1804.267424106598,False,154
0.1,30,10,1917.0460171699524,1917.0460171699524,False,177
0.1,30,9,1819.0230374336243,1819.0230374336243,False,176
0.1,30,7,1819.1042518615723,1819.1042518615723,False,189
0.1,30,9,1634.5645759105682,1634.5645759105682,True,166
0.1,30,8,1822.7024097442627,1822.7024097442627,False,181
0.1,30,10,1861.077975988388,1861.077975988388,False,174
0.1,30,10,1898.1733520030975,1898.1733520030975,False,186
0.1,30,10,1946.328765630722,1946.328765630722,False,170
0.1,30,11,1898.5225212574005,1898.5225212574005,False,171
0.1,30,9,1514.1399137973785,1514.1399137973785,True,186
0.1,30,11,1865.4375813007355,1865.4375813007355,False,183
0.1,30,9,1940.782743215561,1940.782743215561,False,175
0.1,30,11,1905.808435678482,1905.808435678482,False,160
0.1,30,10,1821.2576327323914,1821.2576327323914,False,163
0.1,30,9,1856.208820104599,1856.208820104599,False,164
0.1,30,11,1953.5403444766998,1953.5403444766998,False,181
0.1,30,10,1808.8943927288055,1808.8943927288055,False,163
0.1,30,10,1877.5763003826141,1877.5763003826141,False,192
0.1,30,10,1877.6310789585114,1877.6310789585114,False,162
0.1,30,10,1883.7763993740082,1883.7763993740082,False,165
0.1,30,10,1879.5543649196625,1879.5543649196625,False,161
0.1,30,11,1961.813402414322,1961.813402414322,False,188
0.1,30,10,1770.4188928604126,1770.4188928604126,True,148
0.1,30,10,1943.9353141784668,1943.9353141784668,False,167
0.1,30,10,1820.8984558582306,1820.8984558582306,False,187
0.1,30,10,1934.5582404136658,1934.5582404136658,False,160
0.1,30,10,1921.7387700080872,1921.7387700080872,False,154
0.1,30,10,1954.9401292800903,1954.9401292800903,False,192
0.1,30,6,1271.5419762134552,1271.5419762134552,True,166
0.1,30,9,1824.7188918590546,1824.7188918590546,False,170
0.1,30,10,1840.629117012024,1840.629117012024,False,155
0.1,30,11,1903.7242422103882,1903.7242422103882,False,157
0.1,30,9,1946.6421098709106,1946.6421098709106,False,188
0.1,30,11,1924.3376224040985,1924.3376224040985,False,157
0.1,30,10,1890.41455078125,1890.41455078125,False,184
0.1,30,9,1819.163456439972,1819.163456439972,False,175
0.1,30,10,1827.9736680984497,1827.9736680984497,False,178
0.1,30,10,1882.8798835277557,1882.8798835277557,False,165
0.1,30,10,1836.3409886360168,1836.3409886360168,False,157
0.1,30,8,1820.3320491313934,1820.3320491313934,False,164
0.1,30,8,2026.1323125362396,2026.1323125362396,False,185
0.5,30,7,1253.0645303726196,1253.0645303726196,True,171
0.5,30,6,1252.051453590393,1252.051453590393,True,163
0.5,30,6,1176.5956752300262,1176.5956752300262,True,180
0.5,30,5,924.1928222179413,924.1928222179413,True,176
0.5,30,7,1451.047111272812,1451.047111272812,True,184
0.5,30,11,1873.4310381412506,1873.4310381412506,False,190
0.5,30,7,1089.7691869735718,1089.7691869735718,True,182
0.5,30,6,1170.1977915763855,1170.1977915763855,True,178
0.5,30,6,1226.443430185318,1226.443430185318,True,195
0.5,30,7,1132.0773482322693,1132.0773482322693,True,172
0.5,30,8,1648.8494744300842,1648.8494744300842,True,173
0.5,30,6,1013.4396796226501,1013.4396796226501,True,186
0.5,30,7,1149.282023191452,1149.282023191452,True,150
0.5,30,3,659.9363791942596,659.9363791942596,True,166
0.5,30,4,801.9259738922119,801.9259738922119,True,178
0.5,30,7,1172.8234391212463,1172.8234391212463,True,182
0.5,30,5,892.2332441806793,892.2332441806793,True,157
0.5,30,6,1022.6087126731873,1022.6087126731873,True,167
0.5,30,6,1220.0386114120483,1220.0386114120483,True,180
0.5,30,4,728.3324251174927,728.3324251174927,True,179
0.5,30,5,1072.6484858989716,1072.6484858989716,True,149
0.5,30,5,1022.9103589057922,1022.9103589057922,True,163
0.5,30,6,1102.8622653484344,1102.8622653484344,True,165
0.5,30,6,965.5496053695679,965.5496053695679,True,158
0.5,30,11,1604.1285998821259,1604.1285998821259,True,159
0.5,30,4,1035.2907750606537,1035.2907750606537,True,198
0.5,30,11,1895.3492329120636,1895.3492329120636,False,172
0.5,30,5,1070.9267280101776,1070.9267280101776,True,169
0.5,30,6,1029.7028884887695,1029.7028884887695,True,158
0.5,30,8,1573.235951423645,1573.235951423645,True,176
0.5,30,12,1827.135354757309,1827.135354757309,False,161
0.5,30,5,867.4238157272339,867.4238157272339,True,166
0.5,30,5,1140.617999792099,1140.617999792099,True,189
0.5,30,6,982.9530162811279,982.9530162811279,True,171
