n,num_trains,k,time,time_first_solution,solution_found,num_movements
0.1,30,435,1801.4446778297424,1801.4446778297424,False,161
0.1,30,369,1800.2635507583618,1800.2635507583618,False,161
0.1,30,7,37.61343693733215,37.61343693733215,True,161
0.1,30,2,15.98993706703186,15.98993706703186,True,173
0.1,30,5,30.109304428100586,30.109304428100586,True,165
0.1,30,379,1801.7093212604523,1801.7093212604523,False,155
0.1,30,2,15.496958255767822,15.496958255767822,True,166
0.1,30,3,22.31876254081726,22.31876254081726,True,153
0.1,30,6,32.45513558387756,32.45513558387756,True,197
0.1,30,416,1800.2368438243866,1800.2368438243866,False,159
0.1,30,4,26.06727409362793,26.06727409362793,True,171
0.1,30,3,19.814663887023926,19.814663887023926,True,175
0.1,30,417,1803.4289736747742,1803.4289736747742,False,185
0.1,30,375,1800.6809582710266,1800.6809582710266,False,161
0.1,30,484,1803.030458688736,1803.030458688736,False,159
0.1,30,412,1801.1073808670044,1801.1073808670044,False,158
0.1,30,2,15.183370351791382,15.183370351791382,True,174
0.1,30,373,1800.8474342823029,1800.8474342823029,False,158
0.1,30,11,60.99931788444519,60.99931788444519,True,175
0.1,30,3,18.50594472885132,18.50594472885132,True,165
0.1,30,387,1803.6343252658844,1803.6343252658844,False,160
0.1,30,2,15.77213168144226,15.77213168144226,True,172
0.1,30,20,100.066415309906,100.066415309906,True,190
0.1,30,2,15.043372392654419,15.043372392654419,True,167
0.1,30,4,25.396565914154053,25.396565914154053,True,180
0.1,30,351,1805.4783866405487,1805.4783866405487,False,156
0.1,30,8,43.47224760055542,43.47224760055542,True,172
0.1,30,324,1802.236587047577,1802.236587047577,False,170
0.1,30,4,21.51030945777893,21.51030945777893,True,175
0.1,30,409,1801.4595050811768,1801.4595050811768,False,164
0.1,30,1,11.696752548217773,11.696752548217773,True,167
0.1,30,6,31.142807483673096,31.142807483673096,True,183
0.1,30,427,1803.9750666618347,1803.9750666618347,False,173
0.1,30,413,1803.0146420001984,1803.0146420001984,False,156
0.1,30,5,30.514986991882324,30.514986991882324,True,174
0.1,30,383,1800.2948236465454,1800.2948236465454,False,156
0.1,30,2,17.23564314842224,17.23564314842224,True,158
