num_trains,end_time,k,time,time_first_solution,solution_found,num_movements
20,4800,5,98.99661111831665,98.99661111831665,True,70
20,4800,132,1801.6573071479797,1801.6573071479797,False,73
20,4800,8,131.25404024124146,131.25404024124146,True,70
20,4800,4,80.77384328842163,80.77384328842163,True,74
20,4800,5,93.35191893577576,93.35191893577576,True,68
20,4800,5,91.20698666572571,91.20698666572571,True,71
20,4800,4,82.0140323638916,82.0140323638916,True,74
20,4800,8,135.12485527992249,135.12485527992249,True,68
20,4800,11,177.485032081604,177.485032081604,True,70
20,4800,4,81.16978573799133,81.16978573799133,True,66
20,4800,3,65.51301550865173,65.51301550865173,True,68
20,4800,113,1806.2603418827057,1806.2603418827057,False,69
20,4800,11,183.25820994377136,183.25820994377136,True,75
20,4800,9,178.8102569580078,178.8102569580078,True,66
20,4800,5,95.1426751613617,95.1426751613617,True,74
20,4800,18,249.90703558921814,249.90703558921814,True,70
20,4800,89,1200.0560534000397,1200.0560534000397,True,73
20,4800,3,67.88313412666321,67.88313412666321,True,66
20,4800,3,72.93229532241821,72.93229532241821,True,66
20,4800,8,128.61529159545898,128.61529159545898,True,70
20,4800,10,153.1386058330536,153.1386058330536,True,73
20,4800,8,130.71803164482117,130.71803164482117,True,68
20,4800,2,54.5518114566803,54.5518114566803,True,74
20,4800,6,107.50524568557739,107.50524568557739,True,70
20,4800,9,147.64427185058594,147.64427185058594,True,70
20,4800,38,516.8719561100006,516.8719561100006,True,72
20,4800,6,108.00698471069336,108.00698471069336,True,72
20,4800,12,183.36813950538635,183.36813950538635,True,70
20,4800,125,1606.615170955658,1606.615170955658,True,69
20,4800,23,336.97881984710693,336.97881984710693,True,72
20,6000,3,92.24122095108032,92.24122095108032,True,78
20,6000,10,209.30885863304138,209.30885863304138,True,81
20,6000,2,69.33487749099731,69.33487749099731,True,82
20,6000,2,69.20699906349182,69.20699906349182,True,76
20,6000,7,155.12176990509033,155.12176990509033,True,83
20,6000,3,88.78271746635437,88.78271746635437,True,78
20,6000,2,66.8176999092102,66.8176999092102,True,68
20,6000,4,102.75478649139404,102.75478649139404,True,72
20,6000,2,66.91117119789124,66.91117119789124,True,70
20,6000,3,86.78220319747925,86.78220319747925,True,73
20,6000,1,52.13462543487549,52.13462543487549,True,70
20,6000,1,57.59524083137512,57.59524083137512,True,82
20,6000,4,122.95295286178589,122.95295286178589,True,72
20,6000,6,160.43969750404358,160.43969750404358,True,76
20,6000,3,86.50084376335144,86.50084376335144,True,76
20,6000,8,165.8169186115265,165.8169186115265,True,82
20,6000,4,106.06503129005432,106.06503129005432,True,86
20,6000,3,94.99422001838684,94.99422001838684,True,75
20,6000,9,177.69757509231567,177.69757509231567,True,73
20,6000,1,51.584765911102295,51.584765911102295,True,74
20,6000,2,68.4797568321228,68.4797568321228,True,72
20,6000,4,101.76178336143494,101.76178336143494,True,80
20,6000,3,86.75909209251404,86.75909209251404,True,70
20,6000,2,69.51603412628174,69.51603412628174,True,70
20,6000,15,283.31446599960327,283.31446599960327,True,68
20,6000,5,119.79534435272217,119.79534435272217,True,74
20,6000,4,105.6650779247284,105.6650779247284,True,79
20,6000,103,1804.7117955684662,1804.7117955684662,False,68
20,6000,9,194.92415714263916,194.92415714263916,True,90
20,6000,2,67.02724146842957,67.02724146842957,True,79
20,7200,5,166.49049639701843,166.49049639701843,True,84
20,7200,1,70.66737723350525,70.66737723350525,True,70
20,7200,11,269.17514085769653,269.17514085769653,True,82
20,7200,8,201.91004133224487,201.91004133224487,True,70
20,7200,7,181.49102997779846,181.49102997779846,True,85
20,7200,3,107.46814393997192,107.46814393997192,True,76
20,7200,1,63.79809784889221,63.79809784889221,True,72
20,7200,8,200.65482234954834,200.65482234954834,True,82
20,7200,3,107.77811026573181,107.77811026573181,True,74
20,7200,1,62.712007999420166,62.712007999420166,True,78
20,7200,5,151.0148811340332,151.0148811340332,True,76
20,7200,2,86.30442929267883,86.30442929267883,True,84
20,7200,2,92.05119228363037,92.05119228363037,True,82
20,7200,3,126.7235860824585,126.7235860824585,True,80
20,7200,2,84.43881678581238,84.43881678581238,True,78
20,7200,4,132.32651448249817,132.32651448249817,True,80
20,7200,1,62.55719709396362,62.55719709396362,True,68
20,7200,5,150.70237183570862,150.70237183570862,True,90
20,7200,3,109.53827428817749,109.53827428817749,True,83
20,7200,15,447.787850856781,447.787850856781,True,80
20,7200,8,236.40757179260254,236.40757179260254,True,82
20,7200,1,64.30200552940369,64.30200552940369,True,80
20,7200,3,107.57228565216064,107.57228565216064,True,83
20,7200,2,82.86544871330261,82.86544871330261,True,72
20,7200,6,173.74437165260315,173.74437165260315,True,76
20,7200,2,87.04520297050476,87.04520297050476,True,79
20,7200,3,106.85321140289307,106.85321140289307,True,82
20,7200,1,64.45674228668213,64.45674228668213,True,79
20,7200,3,102.35581803321838,102.35581803321838,True,73
20,7200,2,83.00292539596558,83.00292539596558,True,83
20,8400,14,422.5863358974457,422.5863358974457,True,88
20,8400,7,213.169828414917,213.169828414917,True,81
20,8400,2,99.28405141830444,99.28405141830444,True,86
20,8400,2,97.94711828231812,97.94711828231812,True,84
20,8400,8,251.125337600708,251.125337600708,True,81
20,8400,3,130.25959634780884,130.25959634780884,True,82
20,8400,1,78.53410124778748,78.53410124778748,True,72
20,8400,7,225.98294281959534,225.98294281959534,True,72
20,8400,6,202.17942452430725,202.17942452430725,True,92
20,8400,1,76.03225874900818,76.03225874900818,True,68
20,8400,4,143.02153944969177,143.02153944969177,True,84
20,8400,3,146.20859169960022,146.20859169960022,True,84
20,8400,1,84.9251697063446,84.9251697063446,True,70
20,8400,8,248.28359460830688,248.28359460830688,True,72
20,8400,1,74.90356016159058,74.90356016159058,True,66
20,8400,4,149.32728481292725,149.32728481292725,True,92
20,8400,2,122.18847107887268,122.18847107887268,True,84
20,8400,1,72.19201683998108,72.19201683998108,True,77
20,8400,2,103.79472160339355,103.79472160339355,True,71
20,8400,2,94.92879819869995,94.92879819869995,True,70
20,8400,2,98.42919683456421,98.42919683456421,True,72
20,8400,2,104.77983927726746,104.77983927726746,True,80
20,8400,1,75.21908593177795,75.21908593177795,True,80
20,8400,3,122.08090686798096,122.08090686798096,True,87
20,8400,1,76.84139943122864,76.84139943122864,True,77
20,8400,3,120.7068419456482,120.7068419456482,True,70
20,8400,2,100.9783136844635,100.9783136844635,True,77
20,8400,1,78.23537945747375,78.23537945747375,True,80
20,8400,3,121.45113801956177,121.45113801956177,True,79
20,8400,2,93.54407143592834,93.54407143592834,True,82
