num_trains,k,time,time_solution
10,1,24.537867546081543
10,0,11.556153535842896
10,1,23.40565824508667
10,0,13.654578685760498
10,0,11.530279397964478
15,0,19.934120416641235
15,2,58.94669270515442
15,0,19.400346755981445
15,1,38.69407606124878
15,2,70.7474000453949
20,1,67.38173580169678
20,3,117.32096362113953
20,12,325.5682637691498
20,2,86.17322278022766
20,5,153.5198633670807
25,2,102.7639172077179
25,4,175.63602900505066
25,1,75.84272956848145
25,1,70.6563024520874
25,4,166.5575020313263
30,6,298.5595750808716
30,2,135.61118531227112
30,2,136.8417272567749
30,1,108.55396008491516
30,1,100.15670442581177
5,0,6.305747032165527
5,0,7.343677043914795
5,0,5.308930158615112
5,0,5.946694374084473
5,0,6.084666013717651
