num_trains,end_time,k,time,time_first_solution,solution_found,num_movements
20,4800,8,4.749945640563965,4.749945640563965,True,69
20,4800,6,3.752662181854248,3.752662181854248,True,72
20,4800,10,6.078107595443726,6.078107595443726,True,72
20,4800,16,8.89161229133606,8.89161229133606,True,70
20,4800,12,6.344844102859497,6.344844102859497,True,70
20,4800,6,3.6096341609954834,3.6096341609954834,True,72
20,4800,8,4.639693021774292,4.639693021774292,True,68
20,4800,6,3.8296282291412354,3.8296282291412354,True,66
20,4800,9,5.272806882858276,5.272806882858276,True,70
20,4800,7,4.295873165130615,4.295873165130615,True,72
20,4800,10,5.882798194885254,5.882798194885254,True,70
20,4800,7,4.267268419265747,4.267268419265747,True,66
20,4800,13,8.736223936080933,8.736223936080933,True,66
20,4800,6,3.6799557209014893,3.6799557209014893,True,72
20,4800,14,8.299099206924438,8.299099206924438,True,70
20,4800,8,5.09570050239563,5.09570050239563,True,68
20,4800,10,6.086326837539673,6.086326837539673,True,68
20,4800,12,6.4380810260772705,6.4380810260772705,True,73
20,4800,7,4.144105672836304,4.144105672836304,True,72
20,4800,7,4.033241033554077,4.033241033554077,True,71
20,4800,6,3.74442982673645,3.74442982673645,True,71
20,4800,14,7.536047697067261,7.536047697067261,True,68
20,4800,3780,1800.4267432689667,1800.4267432689667,False,68
20,4800,11,6.69147253036499,6.69147253036499,True,70
20,4800,15,7.952378511428833,7.952378511428833,True,74
20,4800,6,4.015933036804199,4.015933036804199,True,72
20,4800,10,5.322965860366821,5.322965860366821,True,66
20,4800,7,4.127562046051025,4.127562046051025,True,72
20,4800,7,4.283777952194214,4.283777952194214,True,68
20,4800,12,8.222839832305908,8.222839832305908,True,75
20,4920,10,5.880643606185913,5.880643606185913,True,70
20,4920,5,3.3402035236358643,3.3402035236358643,True,68
20,4920,9,5.7633068561553955,5.7633068561553955,True,72
20,4920,15,8.532289028167725,8.532289028167725,True,72
20,4920,5,3.149580717086792,3.149580717086792,True,68
20,4920,8,4.7333433628082275,4.7333433628082275,True,72
20,4920,8,4.798756122589111,4.798756122589111,True,70
20,4920,13,7.506551265716553,7.506551265716553,True,72
