num_trains,end_time,time,time_first_solution,solution_found,num_movements
20,4800,1840.49647,1840.49647,False,42
20,4800,1735.3851062,1735.3851062,True,44
20,4800,1845.0153598,1845.0153598,False,40
20,4800,1847.5676427,1847.5676427,False,42
20,4800,1834.5153345,1834.5153345,False,42
20,4800,971.2236861,971.2236861,True,44
20,4800,1842.7796274,1842.7796274,False,42
20,4800,1839.6891565,1839.6891565,False,42
20,4800,1852.3804807,1852.3804807,False,40
20,4800,1839.3935759,1839.3935759,False,42
20,4800,496.4405191,496.4405191,True,44
20,4800,1852.7632738,1852.7632738,False,42
20,4800,1712.2743529,1712.2743529,True,44
20,4800,1644.0083872,1644.0083872,True,44
20,4800,1792.4719792,1792.4719792,True,44
20,4800,1838.4561528,1838.4561528,False,42
20,4800,1536.5808162,1536.5808162,True,44
20,4800,1841.238921,1841.238921,False,42
20,4800,1828.8721082,1828.8721082,False,42
20,4800,1096.3248684,1096.3248684,True,44
20,4800,1840.1513903,1840.1513903,False,42
20,4800,1849.4272998,1849.4272998,False,42
20,4800,913.6371773,913.6371773,True,44
20,4800,1836.6459503,1836.6459503,False,42
20,4800,1855.2612007,1855.2612007,False,40
20,4800,1843.0552534,1843.0552534,False,40
20,4800,1846.7427989,1846.7427989,False,40
20,4800,653.3147771,653.3147771,True,44
20,4800,1837.3623854,1837.3623854,False,40
20,4800,1847.0160625,1847.0160625,False,42
20,5040,203.2432245,203.2432245,True,43
20,5040,223.6805576,223.6805576,True,44
20,5040,182.0332214,182.0332214,True,43
20,5040,148.7580387,148.7580387,True,42
20,5040,1840.8699857,1840.8699857,False,41
20,5040,617.7109379999999,617.7109379999999,True,44
20,5040,462.8927902,462.8927902,True,43
20,5040,378.4757864,378.4757864,True,43
20,5040,132.4472142,132.4472142,True,43
20,5040,1233.822519,1233.822519,True,43
20,5040,1203.7871108,1203.7871108,True,43
20,5040,1495.416451,1495.416451,True,44
20,5040,320.4413372,320.4413372,True,43
20,5040,112.2714184,112.2714184,True,43
20,5040,479.0486296,479.0486296,True,45
20,5040,115.99934329999999,115.99934329999999,True,43
20,5040,281.8421345,281.8421345,True,42
20,5040,343.1565475,343.1565475,True,44
20,5040,1838.1937579,1838.1937579,False,42
20,5040,382.86772,382.86772,True,42
20,5040,407.473951,407.473951,True,43
20,5040,1849.7898208,1849.7898208,False,41
20,5040,1855.698778,1855.698778,False,42
20,5040,424.8970866,424.8970866,True,42
20,5040,356.8666514,356.8666514,True,42
20,5040,151.3328512,151.3328512,True,42
20,5040,448.0537365,448.0537365,True,44
20,5040,1009.5285954,1009.5285954,True,44
20,5040,90.4119834,90.4119834,True,42
20,5040,134.5937546,134.5937546,True,42
20,5280,78.1634778,78.1634778,True,42
20,5280,56.5370854,56.5370854,True,41
20,5280,94.7775335,94.7775335,True,42
20,5280,106.5574282,106.5574282,True,44
20,5280,76.2962874,76.2962874,True,42
20,5280,211.6443906,211.6443906,True,44
20,5280,85.2197802,85.2197802,True,42
20,5280,97.109944,97.109944,True,42
20,5280,1849.5105383,1849.5105383,False,42
20,5280,127.5884125,127.5884125,True,41
20,5280,85.5224456,85.5224456,True,41
20,5280,96.9237964,96.9237964,True,43
20,5280,1883.8127583,1883.8127583,False,42
20,5280,221.090893,221.090893,True,43
20,5280,90.9399115,90.9399115,True,41
20,5280,414.5471267,414.5471267,True,43
20,5280,1867.9379202,1867.9379202,False,41
20,5280,116.9210309,116.9210309,True,44
20,5280,338.8128999,338.8128999,True,42
20,5280,117.6059839,117.6059839,True,42
20,5280,113.93068980000001,113.93068980000001,True,42
20,5280,1842.6413838,1842.6413838,False,41
20,5280,96.71028849999999,96.71028849999999,True,40
20,5280,111.15666569999999,111.15666569999999,True,42
20,5280,1734.9413751,1734.9413751,True,42
20,5280,387.1497434,387.1497434,True,43
20,5280,113.30906970000001,113.30906970000001,True,42
20,5280,197.5971241,197.5971241,True,42
20,5280,93.6237725,93.6237725,True,41
20,5280,46.3741801,46.3741801,True,43
20,5520,52.5643117,52.5643117,True,40
20,5520,83.77366190000001,83.77366190000001,True,43
20,5520,62.570632,62.570632,True,41
20,5520,83.4408887,83.4408887,True,41
20,5520,104.4928168,104.4928168,True,42
20,5520,49.1468912,49.1468912,True,42
20,5520,84.3990409,84.3990409,True,42
20,5520,83.5668497,83.5668497,True,41
20,5520,374.9145113,374.9145113,True,42
20,5520,85.1808785,85.1808785,True,41
20,5520,97.83193159999999,97.83193159999999,True,42
20,5520,104.0478755,104.0478755,True,41
20,5520,49.7767193,49.7767193,True,42
20,5520,1834.4151423,1834.4151423,False,42
20,5520,246.1511792,246.1511792,True,43
20,5520,90.8701747,90.8701747,True,42
20,5520,84.6104618,84.6104618,True,43
20,5520,86.0784761,86.0784761,True,41
20,5520,108.0240047,108.0240047,True,42
20,5520,62.7396857,62.7396857,True,41
20,5520,294.0698249,294.0698249,True,43
20,5520,73.9812672,73.9812672,True,41
20,5520,70.3502775,70.3502775,True,40
20,5520,111.17662150000001,111.17662150000001,True,44
20,5520,127.3954617,127.3954617,True,44
20,5520,103.9564936,103.9564936,True,42
20,5520,88.4972412,88.4972412,True,43
20,5520,101.3947653,101.3947653,True,41
20,5520,87.8383686,87.8383686,True,42
20,5520,75.4482223,75.4482223,True,42
20,5760,90.2551392,90.2551392,True,41
20,5760,63.4506559,63.4506559,True,43
20,5760,65.3496187,65.3496187,True,43
20,5760,104.83232749999999,104.83232749999999,True,43
20,5760,95.03131110000001,95.03131110000001,True,42
20,5760,76.8485044,76.8485044,True,42
20,5760,108.6523771,108.6523771,True,41
20,5760,60.2507163,60.2507163,True,40
20,5760,71.2195256,71.2195256,True,41
20,5760,53.2055615,53.2055615,True,40
20,5760,27.27094,21.34,True,40
20,5760,69.8396133,69.8396133,True,41
20,5760,125.0582045,125.0582045,True,42
20,5760,649.7416358,649.7416358,True,44
20,5760,88.9138592,88.9138592,True,44
20,5760,94.1099462,94.1099462,True,41
20,5760,116.7509068,116.7509068,True,42
20,5760,103.3556807,103.3556807,True,41
20,5760,108.636336,108.636336,True,41
20,5760,69.5381433,69.5381433,True,40
20,5760,91.8224074,91.8224074,True,41
20,5760,149.472147,149.472147,True,43
20,5760,90.4398265,90.4398265,True,42
20,5760,70.7370217,70.7370217,True,44
20,5760,135.5669753,135.5669753,True,43
20,5760,33.4602827,21.31,True,46
20,5760,65.8020602,65.8020602,True,42
20,5760,72.3478313,72.3478313,True,42
20,5760,106.0419086,106.0419086,True,42
20,5760,38.9316209,38.9316209,True,42
20,6000,92.85751590000001,92.85751590000001,True,45
20,6000,68.1925029,68.1925029,True,42
20,6000,97.6117933,97.6117933,True,41
20,6000,86.290028,86.290028,True,42
20,6000,61.4409835,61.4409835,True,42
20,6000,66.4478739,66.4478739,True,41
20,6000,147.1428218,147.1428218,True,43
20,6000,67.6702896,67.6702896,True,42
20,6000,86.9523752,86.9523752,True,42
20,6000,37.2664757,32.71,True,43
20,6000,61.4703254,61.4703254,True,45
20,6000,96.7529823,96.7529823,True,40
20,6000,47.3085567,47.3085567,True,42
20,6000,72.6288236,72.6288236,True,41
20,6000,60.0692246,60.0692246,True,44
20,6000,372.3768273,372.3768273,True,43
20,6000,305.5698864,305.5698864,True,44
20,6000,121.9166739,121.9166739,True,44
20,6000,44.3224705,44.3224705,True,44
20,6000,108.7476667,108.7476667,True,42
20,6000,58.4510313,58.4510313,True,41
20,6000,81.4349992,81.4349992,True,42
20,6000,73.1015556,73.1015556,True,44
20,6000,59.8959264,59.8959264,True,43
20,6000,91.9445898,91.9445898,True,43
20,6000,81.4960058,81.4960058,True,45
20,6000,113.69745040000001,113.69745040000001,True,43
20,6000,42.3870769,42.3870769,True,44
20,6000,91.0006197,91.0006197,True,40
20,6000,83.36828679999999,83.36828679999999,True,47
