filename,found,total_computation_time
scenario_solver_33_trains_11_units29,True,00:02:06.1958046
scenario_solver_33_trains_11_units3,True,00:03:48.1943280
scenario_solver_33_trains_11_units30,True,00:02:59.7321063
scenario_solver_20_trains_5_units23,True,00:00:13.1367198
scenario_solver_20_trains_5_units24,True,00:00:12.9383331
scenario_solver_20_trains_5_units25,True,00:00:13.1645049
scenario_solver_20_trains_5_units26,True,00:00:15.4957663
scenario_solver_20_trains_5_units27,True,00:00:14.1119617
scenario_solver_25_trains_1_units23,True,00:00:17.4168625
scenario_solver_25_trains_1_units24,True,00:00:15.5990971
scenario_solver_25_trains_1_units25,True,00:00:20.1457193
scenario_solver_25_trains_1_units26,True,00:00:17.3440684
scenario_solver_25_trains_1_units27,True,00:00:17.9127954
scenario_solver_20_trains_1_units1,True,00:00:14.9516266
scenario_solver_20_trains_1_units10,True,00:00:18.8155383
scenario_solver_20_trains_1_units11,True,00:00:15.4665513
scenario_solver_20_trains_1_units12,True,00:00:13.8867424
scenario_solver_20_trains_1_units13,True,00:00:14.2386738
scenario_solver_25_trains_9_units28,True,00:00:14.4995301
scenario_solver_25_trains_9_units29,True,00:00:38.4457875
scenario_solver_25_trains_9_units3,True,00:00:15.7164938
scenario_solver_25_trains_9_units30,True,00:00:19.0973926
scenario_solver_25_trains_9_units4,True,00:00:13.9050443
scenario_solver_27_trains_27_units23,True,00:00:15.1283014
scenario_solver_27_trains_27_units24,True,00:00:17.0637756
scenario_solver_27_trains_27_units25,True,00:00:29.7254291
scenario_solver_27_trains_27_units26,True,00:00:14.4124404
scenario_solver_27_trains_27_units27,True,00:00:16.6667904
scenario_solver_28_trains_1_units1,True,00:00:41.6956037
scenario_solver_28_trains_1_units10,True,00:00:22.0975407
scenario_solver_28_trains_1_units11,True,00:00:28.3658499
scenario_solver_28_trains_1_units12,True,00:00:37.2153942
scenario_solver_28_trains_1_units13,True,00:00:21.8997939
scenario_solver_5_trains_1_units14,True,00:00:03.7257900
scenario_solver_5_trains_1_units15,True,00:00:03.5703824
scenario_solver_5_trains_1_units16,True,00:00:03.7201879
scenario_solver_5_trains_1_units17,True,00:00:03.6036281
scenario_solver_5_trains_1_units18,True,00:00:03.3695903
scenario_solver_15_trains_5_units1,True,00:00:11.6248561
scenario_solver_15_trains_5_units10,True,00:00:11.8829350
scenario_solver_15_trains_5_units11,True,00:00:12.4144668
scenario_solver_15_trains_5_units12,True,00:00:11.2830912
scenario_solver_15_trains_5_units13,True,00:00:10.9268111
scenario_solver_20_trains_7_units23,True,00:00:15.9649990
scenario_solver_20_trains_7_units24,True,00:00:13.1863306
scenario_solver_20_trains_7_units25,True,00:00:13.9516294
scenario_solver_20_trains_7_units26,True,00:00:14.1068168
scenario_solver_20_trains_7_units27,True,00:00:12.5725146
scenario_solver_26_trains_9_units23,True,00:00:20.9435506
scenario_solver_26_trains_9_units24,True,00:00:20.3985894
